CD_NOM,CD_REF,NOM_SCIENTIFIQUE,L,T,C,HA,HE,R,N,S,Tx,MO
130673,130673,"Zostera marina L., 1753",6,6,1,9,12,9,7,9,5,1
621062,621062,"Zostera marina var. marina L., 1753",6,6,1,9,12,9,7,9,5,1
789156,789156,"Nanozostera noltei (Hornem.) Toml. & Posl., 2001",7,6,1,9,11,9,7,8,1,3
621060,621060,"Zostera marina var. angustifolia Hornem., 1820",7,5,1,9,12,9,7,8,4,1
115222,115222,"Posidonia oceanica (L.) Delile, 1813",7,8,1,9,12,9,7,9,5,1
93774,93774,"Cymodocea nodosa (Ucria) Asch., 1869",7,8,1,9,12,9,7,9,5,1
87197,87197,"Cakile maritima Scop., 1772",9,8,1,8,6,7,7,7,4,1
132371,132371,"Cakile maritima subsp. maritima Scop., 1772",9,8,1,8,6,7,7,7,4,1
85083,85083,"Atriplex littoralis L., 1753",9,5,1,8,6,7,8,8,4,1
132369,132369,"Cakile maritima subsp. integrifolia (Hornem.) Greuter & Burdet, 1986",9,8,1,8,6,7,7,7,4,1
771713,771713,"Juncus ranarius Songeon & E.P.Perrier, 1860",9,4,1,8,7,8,7,8,4,2
85063,85063,"Atriplex glabriuscula Edmondston, 1845",9,4,1,8,6,7,7,7,6,1
85079,85079,"Atriplex laciniata L., 1753",9,6,1,7,5,8,7,7,5,1
114844,114844,"Polygonum raii Bab., 1836",8,4,1,3,5,7,7,5,6,1
120594,120594,"Salsola kali L., 1753",9,7,1,7,5,8,7,7,4,1
124122,124122,"Solanum triflorum Nutt., 1818",9,7,1,7,5,8,7,6,4,1
97607,97607,"Euphorbia peplis L., 1753",9,8,1,8,6,7,7,7,4,1
139083,139083,"Polygonum arenarium subsp. pulchellum (Loisel.) Thell., 1912",9,8,1,8,6,7,7,7,4,1
114654,114654,"Polygonum arenarium Waldst. & Kit., 1802",9,6,1,7,5,8,8,7,4,1
100719,100719,"Halimione portulacoides (L.) Aellen, 1938",8,9,1,8,8,8,7,8,2,3
106000,106000,"Limbarda crithmoides (L.) Dumort., 1827",9,6,1,6,6,8,8,5,4,3
612507,612507,"Limbarda crithmoides subsp. crithmoides (L.) Dumort., 1827",9,6,1,6,6,8,8,5,4,3
612508,612508,"Limbarda crithmoides subsp. longifolia (Arcang.) Greuter, 2003",8,9,1,8,8,8,7,8,2,3
93171,93171,"Cressa cretica L., 1753",8,9,1,8,8,8,7,8,2,3
93854,93854,"Cynomorium coccineum L., 1753",8,9,1,8,8,8,7,8,2,3
1006000,1006000,"Cynomorium coccineum subsp. coccineum L., 1753",8,9,1,8,8,8,7,8,2,3
119883,119883,"Salicornia fruticosa (L.) L., 1762",8,9,1,8,8,8,7,8,2,3
119892,119892,"Salicornia perennis Mill., 1768",8,9,1,8,8,8,7,8,2,3
966906,966906,"Salicornia pruinosa (Fuente, Rufo & Sánchez Mata) Piirainen & G.Kadereit, 2017",,,,,,,,,,
127537,127537,"Triglochin barrelieri Loisel., 1807",8,9,1,8,8,8,7,8,2,3
621773,621773,"Salicornia alpini Lag., 1817",8,9,1,8,8,8,7,8,2,3
966898,966898,"Salicornia alpini subsp. alpini Lag., 1817",8,9,1,8,8,8,7,8,2,3
1021698,1021698,"Suaeda vera Forssk. ex J.F.Gmel., 1776",8,9,1,8,7,8,7,7,3,3
966891,966891,"Arthrocaulon macrostachyum (Moric.) Piirainen & G.Kadereit, 2017",8,9,1,8,8,8,7,8,2,3
83952,83952,"Artemisia caerulescens L., 1753",8,9,1,8,8,8,7,8,2,3
